TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,Target
14.09,1,36,0,70.0,0,81.0,1.0,5112.21,0
376.24,1,15,0,68.0,0,141.0,1.0,13758.91,2
126.29,1,23,2,19.0,3,56.0,1.0,1122.35,3
184.5,1,33,2,26.0,3,25.0,1.0,8569.06,3
92.15,1,28,0,18.0,3,172.0,1.0,781.68,3
815.96,1,26,0,55.0,0,120.0,1.0,1021.88,1
190.02,1,22,2,21.0,3,173.0,1.0,1528.81,3
781.76,1,22,0,26.0,3,123.0,1.0,189.69,1
166.99,1,21,2,18.0,3,134.0,1.0,299.93,3
465.45,1,10,0,36.0,1,129.0,1.0,3465.54,1
492.93,1,8,2,39.0,1,234.0,1.0,5109.97,1
59.32,1,20,1,71.0,2,38.0,1.0,5750.89,0
85.77,1,19,1,38.0,0,93.0,1.0,9146.19,2
145.54,1,33,2,21.0,3,96.0,1.0,1930.96,3
40.32,1,25,1,37.0,1,95.0,1.0,2686.52,4
127.45,1,19,2,44.0,0,197.0,1.0,1772.06,4
56.17,1,11,1,27.0,3,283.0,1.0,1351.69,3
59.12,1,3,0,29.0,0,257.0,1.0,9823.64,2
877.81,1,20,2,22.0,3,150.0,1.0,399.0,1
124.76,1,39,1,49.0,1,45.0,1.0,5764.72,4
78.13,1,25,1,26.0,3,145.0,1.0,900.61,3
335.63,1,28,2,55.0,2,216.0,1.0,1019.39,4
328.47,1,35,0,63.0,2,119.0,1.0,4323.66,0
34.02,1,30,2,38.0,0,19.0,1.0,14214.48,2
55.32,1,40,0,19.0,3,117.0,1.0,241.79,3
304.31,1,21,1,27.0,3,33.0,1.0,868.61,3
164.49,1,3,1,26.0,3,75.0,1.0,1509.27,3
510.24,1,28,2,19.0,3,105.0,1.0,781.7,3
626.9,1,10,2,26.0,3,138.0,1.0,265.51,1
85.43,1,41,1,67.0,0,145.0,1.0,14904.9,2
169.5,1,36,1,28.0,3,142.0,1.0,918.88,3
104.63,1,29,0,62.0,2,90.0,1.0,4477.78,0
316.95,1,23,1,25.0,3,83.0,1.0,1324.03,3
386.52,1,16,1,48.0,1,28.0,1.0,5630.61,4
112.07,1,18,1,23.0,3,51.0,1.0,930.3,3
349.64,1,19,2,48.0,1,226.0,1.0,6651.62,4
5.77,1,5,2,50.0,0,124.0,1.0,13988.12,2
298.42,1,16,1,56.0,2,225.0,1.0,3014.75,0
521.06,1,0,1,25.0,3,128.0,1.0,1951.42,3
133.55,1,1,0,44.0,1,220.0,1.0,3846.28,0
143.21,1,9,2,35.0,1,135.0,1.0,6374.82,4
24.77,1,4,0,62.0,2,55.0,1.0,5866.01,0
91.53,1,25,1,44.0,0,69.0,1.0,14676.05,2
120.29,1,24,1,19.0,3,77.0,1.0,1362.39,3
174.25,1,39,2,50.0,0,67.0,1.0,10528.34,2
183.71,1,10,0,38.0,1,102.0,1.0,552.52,0
259.91,1,10,2,49.0,0,170.0,1.0,7176.86,4
154.71,1,36,2,34.0,0,157.0,1.0,1523.72,4
24.56,1,23,1,64.0,0,69.0,1.0,9869.93,2
392.96,1,18,2,24.0,3,100.0,1.0,791.65,3
230.66,1,15,1,21.0,3,135.0,1.0,618.05,3
644.17,1,35,0,29.0,1,72.0,1.0,1143.52,1
25.36,1,21,0,57.0,1,78.0,1.0,201.04,0
147.62,1,5,1,71.0,2,133.0,1.0,2115.8,0
115.02,1,35,1,37.0,0,175.0,1.0,7643.66,2
383.37,1,13,1,30.0,1,24.0,1.0,8901.93,2
196.16,1,41,1,27.0,1,146.0,1.0,9418.86,2
129.94,1,19,0,32.0,1,235.0,1.0,7954.92,2
306.9,1,7,2,46.0,1,51.0,1.0,9418.08,4
114.98,1,39,2,59.0,2,80.0,1.0,6144.68,4
756.59,1,34,1,27.0,3,17.0,1.0,420.65,1
503.76,1,20,2,22.0,3,35.0,1.0,447.82,3
143.03,1,35,0,63.0,2,147.0,1.0,7981.45,0
327.86,1,14,2,40.0,1,104.0,1.0,480.16,4
2.5,1,36,2,47.0,0,107.0,1.0,12145.27,2
115.83,1,14,1,39.0,1,167.0,1.0,6481.04,4
53.57,1,15,0,69.0,2,121.0,1.0,1651.33,0
331.65,1,32,2,41.0,1,61.0,1.0,4172.57,4
5.04,1,42,0,56.0,2,41.0,1.0,5558.36,0
598.81,1,30,1,57.0,0,158.0,1.0,1415.52,1
841.28,1,40,2,26.0,3,80.0,1.0,1103.64,1
38.15,1,23,2,26.0,3,108.0,1.0,303.68,3
124.72,1,28,1,33.0,1,105.0,1.0,6309.8,4
208.04,1,21,2,47.0,1,273.0,1.0,9344.98,4
381.33,1,0,0,56.0,0,75.0,1.0,11835.35,2
16.16,1,25,0,50.0,0,124.0,1.0,14401.17,2
486.08,1,28,2,18.0,3,68.0,1.0,1748.69,3
336.39,1,35,1,21.0,3,18.0,1.0,1000.46,3
234.57,1,6,2,23.0,3,120.0,1.0,263.98,3
