TransactionID,AccountID,DeviceID,IPAddress,MerchantID,TransactionDate,Amount,TransactionType,Channel,CustomerAge,CustomerGender,LoginAttempts,AccountBalance,TransactionDuration,IsFraud
TXN000001,ACC8270,DEV498,1.238.150.121,MER55,2024-01-01 00:00:00,90.9,Payment,POS,53.0,Male,2,23288.0,95.0,0
TXN000002,ACC1860,DEV310,167.252.125.56,MER73,2024-01-01 00:30:00,35.22,Withdrawal,ATM,32.0,Female,2,39528.69,253.0,0
TXN000003,ACC6390,DEV490,81.161.250.168,MER55,2024-01-01 01:00:00,0.56,Withdrawal,Mobile,36.0,Female,1,27228.84,136.0,0
TXN000004,ACC6191,DEV598,221.72.140.69,MER65,2024-01-01 01:30:00,41.46,Payment,Web,68.0,Male,2,98449.4,173.0,0
TXN000005,ACC6734,DEV639,6.83.51.244,MER53,2024-01-01 02:00:00,106.92,Withdrawal,Mobile,59.0,Female,2,85492.55,64.0,0
TXN000006,ACC7265,DEV662,3.80.62.48,MER84,2024-01-01 02:30:00,71.7,Deposit,ATM,22.0,Female,3,93057.42,245.0,0
TXN000007,ACC1466,DEV590,76.111.174.108,MER38,2024-01-01 03:00:00,89.26,Payment,Web,36.0,Male,1,78983.04,194.0,0
TXN000008,ACC5426,DEV541,183.191.64.80,MER71,2024-01-01 03:30:00,591.75,Withdrawal,Mobile,60.0,Female,1,45906.65,285.0,0
TXN000009,ACC6578,DEV360,195.217.14.99,MER98,2024-01-01 04:00:00,64.68,Payment,ATM,56.0,Female,2,20940.71,236.0,1
TXN000010,ACC9322,DEV872,32.95.127.195,MER61,2024-01-01 04:30:00,90.27,Deposit,Mobile,22.0,Male,2,21203.98,293.0,1
TXN000011,ACC2685,DEV449,146.112.82.42,MER63,2024-01-01 05:00:00,21.5,Withdrawal,POS,69.0,Male,2,15592.44,279.0,0
TXN000012,ACC1769,DEV451,116.162.231.77,MER97,2024-01-01 05:30:00,7.37,Transfer,Web,29.0,Female,4,54891.63,19.0,0
TXN000013,ACC7949,DEV619,58.32.13.161,MER66,2024-01-01 06:00:00,224.02,Withdrawal,Web,36.0,Male,1,92036.67,45.0,0
TXN000014,ACC3433,DEV419,189.246.131.215,MER92,2024-01-01 06:30:00,126.83,Withdrawal,Web,64.0,Female,5,99183.91,212.0,0
TXN000015,ACC6311,DEV237,59.156.82.133,MER75,2024-01-01 07:00:00,214.51,Deposit,POS,,Male,3,29086.33,64.0,1
TXN000016,ACC6051,DEV649,121.224.176.167,MER31,2024-01-01 07:30:00,24.35,Transfer,Web,53.0,Female,4,69882.8,244.0,0
TXN000017,ACC7420,DEV722,83.244.192.196,MER29,2024-01-01 08:00:00,127.23,Transfer,POS,29.0,Male,5,59911.25,100.0,0
TXN000018,ACC2184,DEV467,27.79.133.231,MER42,2024-01-01 08:30:00,43.88,Transfer,Web,35.0,Male,1,49149.14,282.0,0
TXN000019,ACC5555,DEV319,13.239.63.189,MER81,2024-01-01 09:00:00,38.83,Deposit,Mobile,66.0,Female,1,66743.98,164.0,0
TXN000020,ACC4385,DEV436,227.146.203.79,MER34,2024-01-01 09:30:00,1.74,Deposit,Mobile,68.0,Male,2,37450.62,286.0,0
TXN000021,ACC7396,DEV322,123.42.201.88,MER55,2024-01-01 10:00:00,20.95,Deposit,Mobile,65.0,Male,1,94476.24,213.0,0
TXN000022,ACC9666,DEV747,148.94.195.171,MER82,2024-01-01 10:30:00,55.5,Deposit,Mobile,60.0,Female,1,70692.16,137.0,1
TXN000023,ACC3558,DEV867,151.1.119.21,MER66,2024-01-01 11:00:00,18.64,Deposit,POS,51.0,Male,1,75543.01,101.0,0
TXN000024,ACC8849,DEV459,115.56.228.71,MER96,2024-01-01 11:30:00,638.8,Transfer,ATM,65.0,Male,2,24621.0,223.0,0
TXN000025,ACC3047,DEV428,7.205.183.118,MER14,2024-01-01 12:00:00,55.36,Payment,ATM,50.0,Male,5,17273.91,75.0,0
TXN000026,ACC3747,DEV562,195.113.15.246,MER64,2024-01-01 12:30:00,20.95,Deposit,Mobile,66.0,Female,2,39736.91,278.0,0
TXN000027,ACC1189,DEV660,83.178.209.243,MER70,2024-01-01 13:00:00,33.3,Payment,ATM,35.0,Male,3,76783.91,138.0,0
TXN000028,ACC3734,DEV903,208.71.123.224,MER98,2024-01-01 13:30:00,132.9,Withdrawal,ATM,74.0,Female,1,93910.19,70.0,0
TXN000029,ACC4005,DEV481,113.11.125.52,MER17,2024-01-01 14:00:00,9.93,Withdrawal,Web,46.0,Female,2,43019.32,131.0,1
TXN000030,ACC5658,DEV935,75.132.26.139,MER25,2024-01-01 14:30:00,297.55,Deposit,POS,62.0,Male,2,77528.6,209.0,0
TXN000031,ACC2899,DEV689,145.133.96.4,MER57,2024-01-01 15:00:00,488.56,Withdrawal,Mobile,22.0,Female,4,47305.56,121.0,0
TXN000032,ACC8734,DEV716,57.155.77.68,MER70,2024-01-01 15:30:00,42.5,Payment,ATM,42.0,Female,3,29875.21,271.0,0
TXN000033,ACC2267,DEV268,118.119.58.32,MER24,2024-01-01 16:00:00,89.7,Withdrawal,ATM,41.0,Female,4,74056.88,286.0,0
TXN000034,ACC2528,DEV316,62.49.111.232,MER74,2024-01-01 16:30:00,3.36,Withdrawal,Mobile,46.0,Female,3,79921.11,153.0,0
TXN000035,ACC4556,DEV477,19.213.196.122,MER31,2024-01-01 17:00:00,153.54,Payment,Web,55.0,Male,3,20682.66,198.0,0
TXN000036,ACC4890,DEV218,194.221.46.166,MER12,2024-01-01 17:30:00,80.15,Withdrawal,Mobile,50.0,Male,5,30864.37,172.0,0
TXN000037,ACC9838,DEV289,196.32.140.83,MER63,2024-01-01 18:00:00,47.22,Deposit,Web,27.0,Male,4,49730.3,183.0,0
TXN000038,ACC6393,DEV866,182.134.78.214,MER23,2024-01-01 18:30:00,34.76,Payment,ATM,54.0,Female,3,19058.92,152.0,0
TXN000039,ACC9792,DEV469,14.214.146.127,MER45,2024-01-01 19:00:00,159.21,Payment,POS,50.0,Female,1,92919.01,61.0,0
TXN000040,ACC9433,DEV877,54.220.247.147,MER91,2024-01-01 19:30:00,80.73,Transfer,Web,40.0,Male,5,59337.72,9.0,0
TXN000041,ACC8513,DEV248,29.23.81.62,MER91,2024-01-01 20:00:00,29.71,Transfer,Web,28.0,Female,1,12559.73,18.0,0
TXN000042,ACC3612,DEV775,202.104.56.135,MER76,2024-01-01 20:30:00,175.25,Payment,Mobile,41.0,Male,2,18810.97,284.0,0
TXN000043,ACC8041,DEV751,218.61.156.201,MER19,2024-01-01 21:00:00,124.89,Payment,ATM,41.0,Female,2,95458.36,220.0,0
TXN000044,ACC7235,DEV958,17.65.5.57,MER58,2024-01-01 21:30:00,293.5,Transfer,POS,24.0,Male,3,73947.77,179.0,0
TXN000045,ACC6486,DEV587,69.155.61.168,MER74,2024-01-01 22:00:00,18.75,Deposit,Mobile,67.0,Male,1,73573.31,7.0,0
TXN000046,ACC8099,DEV869,197.81.217.211,MER66,2024-01-01 22:30:00,231.03,Withdrawal,Mobile,38.0,Male,3,7713.61,141.0,1
TXN000047,ACC1775,DEV473,169.176.218.176,MER36,2024-01-01 23:00:00,167.91,Withdrawal,POS,37.0,Female,5,89582.23,104.0,0
TXN000048,ACC9226,DEV880,204.70.250.130,MER84,2024-01-01 23:30:00,18.33,Withdrawal,ATM,70.0,Male,5,44651.67,87.0,0
TXN000049,ACC4152,DEV792,10.97.88.34,MER14,2024-01-02 00:00:00,178.03,Payment,POS,27.0,Female,1,66141.87,284.0,0
TXN000050,ACC2585,DEV259,208.1.123.23,MER80,2024-01-02 00:30:00,87.39,Deposit,Mobile,42.0,Female,2,95989.08,136.0,0
TXN000051,ACC4943,DEV450,74.165.21.153,MER92,2024-01-02 01:00:00,435.02,Transfer,Mobile,64.0,Male,5,10451.23,5.0,0
TXN000052,ACC8555,DEV387,171.182.38.218,MER66,2024-01-02 01:30:00,22.9,Deposit,Web,53.0,Male,1,48486.51,120.0,0
TXN000053,ACC4073,DEV387,157.238.229.19,MER24,2024-01-02 02:00:00,154.43,Deposit,POS,65.0,Female,1,5436.47,206.0,1
TXN000054,ACC2021,DEV991,219.40.181.147,MER85,2024-01-02 02:30:00,72.19,Withdrawal,POS,64.0,Female,2,50204.77,144.0,0
TXN000055,ACC4843,DEV325,108.146.83.226,MER39,2024-01-02 03:00:00,471.34,Transfer,POS,32.0,Male,1,25599.81,150.0,0
TXN000056,ACC8989,DEV622,111.65.157.52,MER29,2024-01-02 03:30:00,60.07,Deposit,Mobile,,Male,4,91151.02,270.0,0
TXN000057,ACC7873,DEV621,34.149.66.133,MER46,2024-01-02 04:00:00,491.26,Transfer,ATM,57.0,Female,2,40150.0,206.0,0
TXN000058,ACC6675,DEV882,207.26.9.72,MER12,2024-01-02 04:30:00,347.63,Payment,Mobile,57.0,Male,1,63570.31,156.0,0
TXN000059,ACC1161,DEV372,225.95.47.69,MER82,2024-01-02 05:00:00,47.29,Withdrawal,Web,67.0,Male,1,86098.58,226.0,1
TXN000060,ACC5297,DEV501,233.186.99.58,MER50,2024-01-02 05:30:00,244.1,Transfer,Mobile,23.0,Male,1,98377.34,83.0,1
TXN000061,ACC1995,DEV282,252.1.156.195,MER48,2024-01-02 06:00:00,814.07,Payment,Mobile,54.0,Male,2,50630.03,204.0,0
TXN000062,ACC8629,DEV764,65.82.153.216,MER35,2024-01-02 06:30:00,43.69,Payment,Mobile,19.0,Female,3,45847.89,254.0,0
TXN000063,ACC2016,DEV587,10.52.78.58,MER11,2024-01-02 07:00:00,86.11,Payment,Web,29.0,Female,3,8036.09,103.0,0
TXN000064,ACC8869,DEV926,150.178.47.148,MER32,2024-01-02 07:30:00,110.15,Deposit,POS,21.0,Male,5,1767.52,217.0,0
TXN000065,ACC7439,DEV945,123.247.21.99,MER32,2024-01-02 08:00:00,52.42,Deposit,ATM,40.0,Male,4,61075.81,147.0,1
TXN000066,ACC8892,DEV223,98.157.24.236,MER94,2024-01-02 08:30:00,2.31,Withdrawal,ATM,30.0,Female,3,7013.7,194.0,0
